age,height,educ,feduc,meduc,tenure,wexp,race,male,earn,totalwork
28,77,13,5,6,2,10,White,1,14.87,2286
51,67,13,4,4,26,19,Black,1,45.45,3036
48,69,12,4,3,1,18,Black,0,5.76,2255
39,67,12,4,4,1,3,Black,0,14.11,2056
39,68,12,3,5,6,10,Black,1,15.13,2313
42,68,13,2,5,1,5,Black,0,12.99,2772
24,74,13,4,4,5,3,Black,1,10,2600
47,77,14,8,6,20,1,White,1,43.28,1964
53,66,12,4,4,1,10,White,1,25.64,3120
42,62,16,4,4,1,8,White,0,19.16,2035
40,68,13,6,4,8,5,White,1,17.55,2200
69,76,10,2,2,32,51,White,1,3.1,2024
61,71,16,1,2,4,28,Black,0,15.7,1510
36,66,16,7,4,17,3,Black,0,30.43,2563
31,69,16,4,7,7,5,Black,0,23.03,2193
26,76,14,4,6,4,6,Black,1,27.49,2019
65,64,16,1,4,38,37,Black,0,29.79,1880
46,68,12,3,4,4,20,White,0,17.65,2550
51,70,16,6,7,4,9,White,1,67.63,2410
37,62,16,7,7,6,1,White,0,29.96,1769
37,64,16,7,8,10,4,White,0,22.76,2460
33,70,17,8,8,10,2,White,1,33.47,2151
30,67,10,5,6,10,8,White,1,25.23,1982
65,75,16,6,4,20,5,White,1,14.74,1840
39,71,17,5,5,5,10,White,1,46.41,2241
36,65,16,7,8,5,6,White,1,42,2024
33,71,15,7,4,6,11,White,1,24,2958
64,61,14,5,4,40,35,Black,0,18.75,2080
49,71,16,7,7,26,14,White,1,48.94,1880
31,70,17,4,6,8,2,White,1,40.87,2080
27,62,17,5,6,3,3,White,0,19.63,2496
33,70,16,4,6,1,4,Other,1,46.36,1661
43,67,11,12,8,7,5,Other,1,10.59,2550
57,66,14,4,4,35,27,White,0,40.37,1932
31,69,14,4,4,5,11,White,1,31.64,2750
33,67,16,7,8,4,11,White,1,20.6,4368
38,69,12,4,4,2,16,White,1,21.43,2706
66,66,16,4,4,6,14,White,1,9.18,1479
44,71,12,4,4,10,3,White,1,33.56,2205
37,75,16,8,8,6,4,White,1,46.05,3040
44,76,12,5,5,3,4,White,1,10.99,1820
65,68,17,4,4,1,16,White,1,11.65,2232
25,66,16,15,7,2,6,White,0,10.01,2098
28,76,16,8,4,2,8,White,1,13.37,1944
46,70,13,5,4,18,12,White,1,39.47,1824
42,70,17,5,7,15,8,White,1,23.84,3272
59,67,16,8,7,28,2,White,1,72.32,2112
61,62,12,7,7,17,18,White,0,19.82,1980
45,71,15,8,7,3,8,White,1,22.37,2080
35,73,14,4,4,9,10,White,1,19.23,4160
58,66,12,4,4,9,19,White,0,44.47,2024
59,65,14,2,3,1,25,White,1,23.09,2772
51,74,17,8,8,18,3,White,1,37.7,2016
38,65,16,8,4,16,2,White,0,34.48,1798
37,66,17,6,6,4,14,White,1,23.15,1944
38,71,16,6,6,12,4,White,1,61.15,1848
39,69,11,6,4,3,12,Other,1,13.23,2116
61,76,14,4,4,7,9,White,1,102.66,1880
37,69,16,4,4,1,8,White,1,59.21,2280
36,73,12,5,5,5,16,White,1,43.07,2074
29,75,17,7,6,1,1,White,1,21.63,2080
