country,year,life_ladder,GDP,social_support,healthy,freedom,generosity,perceptions
Costa Rica,2019,6.997618675,20937.537068464924,0.906077445,70,0.926830113,-0.15232500400000001,0.835628331
Croatia,2019,5.625743866,29336.079214606885,0.935988724,68.59999847,0.739300609,-0.141524747,0.931614637
Cyprus,2019,6.136832714,40226.81934305043,0.776078045,72.40000153,0.740058005,-0.011269341,0.865294218
Denmark,2019,7.693003178,57161.68041187638,0.957706392,71,0.963318408,0.017636368,0.174150586
Dominican Republic,2019,6.004237175,18412.894809276346,0.884089887,64,0.87740624,-0.124324948,0.745615363
Ecuador,2019,5.809131145,11370.60822321157,0.808485806,68.5,0.829573691,-0.116003864,0.839495003
El Salvador,2019,6.454820633,8776.115493314293,0.764390528,64.90000153,0.877390683,-0.109806202,0.68157649
Estonia,2019,6.034641266,36399.93252811865,0.934064329,69.19999695,0.886504352,-0.097410277,0.575754166
Eswatini,2019,4.396114826,8652.926332074487,0.759097695,51.02541351,0.596682429,-0.191392645,0.723507762
Ethiopia,2019,4.099555016,2221.4045322536936,0.748057783,59.90000153,0.753515542,0.052852437,0.731845319
