Date,Open,High,Low,Close,Adj Close,Volume
2019-11-22,6.425666,6.489077,6.390438,6.489077,6.039846,1758664
2019-11-25,6.482032,6.503169,6.460895,6.489077,6.039846,859107
2019-11-26,6.482032,6.538397,6.446803,6.538397,6.085752,3229635
2019-11-27,6.503169,6.524306,6.432712,6.439757,5.993940,2276002
2019-11-28,6.446803,6.489077,6.418620,6.474986,6.026731,1087899
2019-11-29,6.489077,6.489077,6.439757,6.474986,6.026731,2397495
2019-12-02,6.453849,6.482032,6.439757,6.453849,6.007057,970948
2019-12-03,6.418620,6.439757,6.362255,6.383392,5.941477,2873105
2019-12-04,6.348164,6.369301,6.327026,6.369301,5.928362,2216107
2019-12-05,6.369301,6.397483,6.348164,6.355209,5.915246,1180864
2019-12-06,6.348164,6.411575,6.348164,6.411575,5.967710,1164258
2019-12-09,6.404529,6.418620,6.319981,6.319981,5.882456,2043377
2019-12-10,6.319981,6.341118,6.298844,6.312935,5.875898,2174947
2019-12-11,6.298844,6.397483,6.298844,6.362255,5.921804,1773425
2019-12-12,6.362255,6.432712,6.355209,6.404529,5.961152,1460467
2019-12-13,6.446803,6.446803,6.390438,6.432712,5.987383,1072854
2019-12-16,6.432712,6.446803,6.411575,6.425666,5.980825,949658
2019-12-17,6.460895,6.482032,6.411575,6.425666,5.980825,2010165
2019-12-18,6.425666,6.453849,6.376346,6.425666,5.980825,1787476
2019-12-19,6.376346,6.390438,6.341118,6.376346,5.934919,1829488
2019-12-20,6.348164,6.362255,6.334072,6.341118,5.902130,2121297
2019-12-23,6.376346,6.404529,6.355209,6.390438,5.948036,1062210
2019-12-24,6.390438,6.411575,6.376346,6.390438,5.948036,401664
2019-12-25,6.390438,6.390438,6.390438,6.390438,5.948036,0
2019-12-26,6.376346,6.397483,6.341118,6.397483,5.954593,357949
2019-12-27,6.397483,6.411575,6.376346,6.390438,5.948036,523866
2019-12-30,6.397483,6.404529,6.362255,6.369301,5.928362,841081
2019-12-31,6.355209,6.425666,6.355209,6.369301,5.928362,1643132
2020-01-02,6.411575,6.425666,6.369301,6.418620,5.974267,1605379
2020-01-03,6.425666,6.425666,6.341118,6.355209,5.915246,1421578
2020-01-06,6.319981,6.319981,6.284752,6.291798,5.856225,1731413
2020-01-07,6.312935,6.355209,6.305889,6.348164,5.908689,1600127
2020-01-08,6.256570,6.334072,6.221341,6.334072,5.895572,2368399
2020-01-09,6.319981,6.341118,6.284752,6.291798,5.856225,1376302
2020-01-10,6.334072,6.341118,6.284752,6.305889,5.869340,1677480
2020-01-13,6.305889,6.341118,6.284752,6.305889,5.869340,801341
2020-01-14,6.298844,6.355209,6.298844,6.348164,5.908689,1029566
2020-01-15,6.355209,6.390438,6.334072,6.362255,5.921804,1396457
2020-01-16,6.362255,6.404529,6.319981,6.369301,5.928362,989115
2020-01-17,6.397483,6.397483,6.312935,6.376346,5.934919,1414198
2020-01-20,6.376346,6.376346,6.334072,6.355209,5.915246,617824
2020-01-21,6.334072,6.334072,6.221341,6.228387,5.797203,3404919
2020-01-22,6.228387,6.369301,6.228387,6.291798,5.856225,3542734
2020-01-23,6.284752,6.298844,6.228387,6.235433,5.803761,2685046
2020-01-24,6.228387,6.228387,6.150884,6.214295,5.784087,2088227
2020-01-28,6.045199,6.052245,5.974742,6.031108,5.613582,5367397
2020-01-29,6.066336,6.080427,6.017016,6.038153,5.620139,3173998
2020-01-30,6.038153,6.052245,5.988833,6.017016,5.600465,2976430
2020-01-31,6.059290,6.059290,5.995879,6.024062,5.607024,3770817
2020-02-03,5.995879,6.009971,5.967696,5.981788,5.567677,3623777
2020-02-04,5.974742,6.052245,5.974742,6.024062,5.607024,2961386
